sentence|logit_diff|correct_id|foil_id
Katherine can't help|4.134834289550781|5223|2241
Karla could listen to|1.5422499179840088|5223|2241
Marie won't think about|4.556451439857483|5223|2346
Mark hasn't discussed|4.272548228502274|2241|2346
Stephen impressed|4.609007760882378|2241|2346
Christina boasts about|4.869559407234192|5223|2241
Suzanne would irritate|4.1126256585121155|5223|2346
Rose couldn't reference|3.6942626237869263|5223|2346
Paul should stun|3.4881520494818687|2241|5223
Kristen praises|3.0030269622802734|5223|2241
Tamara might work with|1.9942958354949951|5223|2241
Valerie remembers|5.815869092941284|5223|2346
Kristen hasn't worked with|3.7750078439712524|5223|2346
Kendra disturbed|1.9084084033966064|5223|2241
Lawrence had boasted about|3.712510585784912|2241|5223
Jason wasn't listening to|2.614192008972168|2241|5223
Sabrina disturbs|3.1022742986679077|5223|2241
Some essay doesn't disagree with|1.4589697122573853|2346|2241
Kenneth wasn't admiring|4.531906962394714|2241|2346
Melanie had referenced|3.6117410212755203|5223|2346
Larry reveals|4.007858037948608|2241|2346
Samantha isn't watching|3.8825170397758484|5223|2346
Rachel should like|3.5915863513946533|5223|2241
Heather has helped|4.458924770355225|5223|2346
Lori has found|6.0105156898498535|5223|2346
Christina hadn't shocked|4.753881216049194|5223|2346
Theresa wasn't alarming|2.8943328857421875|5223|2241
Jacqueline works with|2.1669835448265076|5223|2241
Alan hires|2.1611013412475586|2241|5223
April isn't complaining about|-0.6343107223510742|5223|2241
Scott had questioned|1.9628663063049316|2241|5223
Wayne helps|6.17298424243927|2241|2346
Amelia heals|2.2416253089904785|5223|2241
Debra is disgusting|2.8618535697460175|5223|2346
Irene has admired|2.3458181619644165|5223|2241
Brad distracted|1.3710074424743652|2241|5223
Sherry wouldn't cure|3.751699686050415|5223|2346
Ronald upset|4.587287425994873|2241|2346
Catherine hasn't noticed|2.4649641513824463|5223|2241
Susan shouldn't criticize|2.8155126571655273|5223|2241
Dawn has described|2.918686628341675|5223|2241
Joseph describes|2.5937790870666504|2241|5223
Catherine isn't hurting|2.5801467895507812|5223|2241
Tracy alarmed|4.9600831270217896|5223|2346
Heather has embarrassed|3.931436538696289|5223|2241
Sharon hurt|4.460332870483398|5223|2346
Marie might admire|2.5025827884674072|5223|2241
Susan did love|5.472757458686829|5223|2346
Russell hasn't hired|3.2301948070526123|2241|5223
Every man insulted|5.004557192325592|2241|2346
Marie had insulted|1.623413324356079|5223|2241
Steve wasn't describing|4.500142574310303|2241|2346
Roger had known|2.515823572874069|2241|5223
Larry boasts about|3.234050750732422|2241|5223
Kayla complains about|3.3866482973098755|5223|2241
A bird had found|3.1570496559143066|2346|5223
Ellen wasn't worrying|3.1772918701171875|5223|2241
Debra wasn't investigating|2.7063363790512085|5223|2346
Larry referenced|2.1055002212524414|2241|5223
Joel does complain about|3.0119425654411316|2241|5223
Gregory won't attack|3.8183708488941193|2241|2346
Christine hasn't questioned|2.47310733795166|5223|2241
Natalie returned to|4.5855478048324585|5223|2346
Becca was approaching|2.845809727907181|5223|2241
Rachelle investigated|1.9950666427612305|5223|2241
Sheila saw|2.1004385948181152|5223|2241
Jacqueline likes|3.248401403427124|5223|2241
Douglas healed|2.162635326385498|2241|5223
Colleen wasn't concealing|5.392769694328308|5223|2346
Catherine disturbed|4.679054141044617|5223|2346
Some company astounded|3.120453268289566|2346|5223
Todd likes|3.962268590927124|2241|2346
Tamara couldn't flee from|3.0161681175231934|5223|2241
Rose praised|-0.24245715141296387|5223|2241
Joseph isn't annoying|1.504734754562378|2241|5223
Jodi liked|4.952688276767731|5223|2346
Ronald fled from|3.8848390579223633|2241|5223
Tina fires|2.9766803979873657|5223|2241
Michelle saw|5.819952830672264|5223|2346
Renee might admire|4.099493741989136|5223|2346
A girl couldn't reveal|4.382575750350952|5223|2241
Curtis won't describe|4.820306301116943|2241|2346
Patricia does respect|1.9010910987854004|5223|2241
Valerie forgets|6.288292646408081|5223|2346
Deborah had annoyed|2.8954131603240967|5223|2241
Clyde hasn't hated|4.254828691482544|2241|2346
Andrea does kiss|4.656237244606018|5223|2346
Irene isn't irritating|3.9367291927337646|5223|2346
Stacy hadn't sounded like|6.944397449493408|5223|2346
Rose has shocked|3.6342399418354034|5223|2346
George wasn't hurting|6.372361421585083|2241|2346
Amy would question|2.3845465183258057|5223|2241
Tonya sees|5.368169069290161|5223|2346
Christina hasn't hired|4.162999749183655|5223|2241
Pamela did reveal|4.427237510681152|5223|2241
Diane had concealed|3.6778438091278076|5223|2241
Melinda hasn't argued about|4.160905480384827|5223|2346
Deanna insults|3.8760160207748413|5223|2346
Gregory isn't hurting|2.9161148071289062|2241|5223
Rebecca should shock|2.9786384105682373|5223|2241
Amanda stunned|4.551485508680344|5223|2346
That dancer wouldn't aggravate|1.2196059226989746|5223|2241
Colleen talks to|5.0106048583984375|5223|2346
Brian hasn't healed|4.01472282409668|2241|2346
Natalie is curing|3.2252912521362305|5223|2241
Rhonda was upsetting|2.833932042121887|5223|2241
Peter wasn't disgusting|2.2669568061828613|2241|5223
Kristen isn't aggravating|5.016841173171997|5223|2346
Victoria hid|3.2702038288116455|5223|2241
Becca has seen|2.8181086778640747|5223|2241
Sherry can't forget|2.844384551048279|5223|2241
Tracy had distracted|6.453620672225952|5223|2346
Stephanie is talking to|2.605456590652466|5223|2241
Rachelle might return to|3.519253730773926|5223|2346
Carl describes|2.4461331367492676|2241|5223
Jeffrey didn't describe|3.4318900108337402|2241|5223
Jacqueline hadn't concealed|5.427952289581299|5223|2346
Tracy isn't upsetting|4.666474461555481|5223|2346
Sonia hasn't discovered|4.171859502792358|5223|2241
Laura does find|3.761587619781494|5223|2241
Jodi is confusing|3.146599769592285|5223|2241
Florence disliked|0.5503933429718018|5223|2241
Alexander complains about|1.2039707899093628|2241|5223
Melissa complains about|5.446545720100403|5223|2346
Teresa isn't noticing|4.487716048955917|5223|2346
Jerry should cure|3.4314632415771484|2241|5223
Tanya was kissing|1.8471782207489014|5223|2241
Todd was scaring|5.533583164215088|2241|2346
Sheila was noticing|3.1725581884384155|5223|2241
Marla wasn't distracting|2.885516405105591|5223|2241
Dana hasn't respected|1.7271990776062012|5223|2346
Curtis isn't scaring|2.3845481872558594|2241|5223
Some organization had distracted|0.08550262451171875|2346|2241
Some dancer has visited|0.6834019422531128|5223|2241
Adam returned to|4.551541447639465|2241|2346
A university won't impress|3.4507488012313843|2346|2241
Marla annoyed|2.7525441646575928|5223|2241
Every story would disagree with|2.389857769012451|2346|2241
Aaron references|3.764027923345566|2241|2346
Caroline isn't impressing|4.37633204460144|5223|2346
Laurie wasn't questioning|3.3216025829315186|5223|2346
Alexander would criticize|2.735719084739685|2241|2346
Martin couldn't disgust|1.9740099906921387|2241|5223
Danielle embarrassed|3.027918815612793|5223|2241
Daniel hasn't fired|5.3027655482292175|2241|2346
Catherine has confused|3.0308187007904053|5223|2241
That committee wasn't upsetting|2.6237704753875732|2346|2241
Stephanie has thought about|5.0759758949279785|5223|2346
Rachel notices|4.7324512004852295|5223|2346
Claire doesn't complain about|3.254301905632019|5223|2241
Brenda investigates|2.4806178212165833|5223|2241
Debra disgusted|2.30114483833313|5223|2241
Tamara isn't referencing|3.4852627515792847|5223|2346
Gina loves|5.511836647987366|5223|2346
Mary does help|4.579891100525856|5223|2346
Kirsten hadn't hurt|3.007317543029785|5223|2241
Anna shouldn't appreciate|4.112229228019714|5223|2346
Anne hasn't kissed|5.220035672187805|5223|2346
Donna will discover|3.42689311504364|5223|2241
Martin didn't hire|2.6398701667785645|2241|5223
Brett hadn't revealed|3.0083189010620117|2241|5223
Stacey complains about|4.945483684539795|5223|2346
Gina appreciates|2.9537973403930664|5223|2241
Dawn is disgusting|-0.18125179409980774|5223|2346
Douglas should upset|4.12668614089489|2241|2346
Rebecca disturbs|4.4529993534088135|5223|2346
Carolyn hadn't discussed|4.22339540719986|5223|2241
Becca does irritate|3.2788206338882446|5223|2241
Kevin hadn't referenced|2.76194965839386|2241|5223
Rhonda notices|4.5742257833480835|5223|2346
Ann should upset|2.6081926077604294|5223|2346
Roger would think about|3.42641282081604|2241|5223
Victoria appreciates|1.9941099286079407|5223|2346
Travis appreciates|2.6208659410476685|2241|2346
Eric investigated|1.2263354063034058|2241|5223
Dana was watching|3.6743967533111572|5223|2346
Matt hasn't hidden|3.518861770629883|2241|5223
Meredith sounds like|3.394383192062378|5223|2241
Heidi has hated|3.040494441986084|5223|2241
Tina had cured|5.472311019897461|5223|2346
Cindy was praising|4.250197052955627|5223|2346
April has hired|-0.6602050065994263|5223|2241
Sara bored|5.539483070373535|5223|2346
Robert complained about|3.0030359029769897|2241|2346
Martin had respected|2.2991113662719727|2241|5223
Grace had hated|5.715027928352356|5223|2346
Gary wasn't hiring|3.55910062789917|2241|2346
Tammy wouldn't escape from|3.561327040195465|5223|2346
Cheryl notices|4.515546083450317|5223|2346
Gary didn't complain about|3.1009196043014526|2241|5223
Carolyn isn't insulting|2.5723133087158203|5223|2241
Nicole irritated|2.8058245182037354|5223|2241
Karen respects|2.9199111461639404|5223|2241
Kirsten dislikes|3.8944903016090393|5223|2346
Ann discussed|0.6124942302703857|5223|2241
Julia thinks about|3.228779911994934|5223|2241
Michelle couldn't reveal|4.353012710809708|5223|2346
Sharon isn't investigating|2.3653006553649902|5223|2241
Carlos isn't irritating|4.200101137161255|2241|2346
Alice can care for|3.8123083114624023|5223|2241
Christina wasn't stunning|4.987709999084473|5223|2346
Regina wasn't attacking|2.382754325866699|5223|2241
That school has confused|2.8978629112243652|2346|2241
Laura has approached|4.23333865404129|5223|2346
Martha shocked|4.640415906906128|5223|2346
Judy would care for|4.6141568422317505|5223|2346
