,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target,target_phrase
0,Susan revealed herself.,Susan revealed themselves.,Susan revealed,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,0,NA,NA
1,Renee hasn't hurt herself.,Renee hasn't hurt themselves.,Renee hasn't hurt,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,1,NA,NA
2,These patients do respect themselves.,These patients do respect himself.,These patients do respect,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,2,NA,NA
3,Mary should criticize herself.,Mary should criticize themselves.,Mary should criticize,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,3,NA,NA
4,Kristin irritated herself.,Kristin irritated themselves.,Kristin irritated,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,4,NA,NA
5,Tracy described herself.,Tracy described themselves.,Tracy described,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,5,NA,NA
6,A lot of girls had bothered themselves.,A lot of girls had bothered himself.,A lot of girls had bothered,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,6,NA,NA
7,Many teenagers were helping themselves.,Many teenagers were helping herself.,Many teenagers were helping,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,7,NA,NA
8,Girls talked to themselves.,Girls talked to itself.,Girls talked to,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,8,NA,NA
9,All senators listened to themselves.,All senators listened to itself.,All senators listened to,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,9,NA,NA
10,Laura hired herself.,Laura hired themselves.,Laura hired,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,10,NA,NA
11,Claire won't conceal herself.,Claire won't conceal themselves.,Claire won't conceal,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,11,NA,NA
12,Becca shouldn't impress herself.,Becca shouldn't impress themselves.,Becca shouldn't impress,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,12,NA,NA
13,This woman has criticized herself.,This woman has criticized themselves.,This woman has criticized,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,13,NA,NA
14,Sonia would cure herself.,Sonia would cure themselves.,Sonia would cure,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,14,NA,NA
15,Most girls hate themselves.,Most girls hate himself.,Most girls hate,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,15,NA,NA
16,This legislature worried itself.,This legislature worried themselves.,This legislature worried,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,16,NA,NA
