sentence|logit_diff|correct_id|foil_id
a 12th-century commentary on periegetes by eustathius of thessalonica also|3.812190055847168|23008|8996
a 13-year boy named toby lolness , who is just one and a half millimetres tall ,|2.516223132610321|3160|2107
a 16-year-old , second-year high school student with childish looks ( she greatly|4.843231201171875|22960|22464
a 1770s map of philadelphia 's naval defenses|2.445704936981201|2523|905
a 1794 plan of the 'castle ' exists , this only|4.712350368499756|2523|905
a 1995 report by human rights watch noted that `` abuses in the territory|3.569972515106201|2555|4477
a 2006 guide to the churches of anglesey|2.0565913915634155|8477|6901
a 2006 guide to the churches of anglesey|0.3543553352355957|4710|3465
a 2006 guide to the churches of anglesey|1.8964753150939941|1139|910
a 2006 study found that the share of immigrants|2.3610804080963135|468|423
a 2007 study of 177 patients|1.998910903930664|2523|905
a 2009 genetic study on this subspecies|2.9243292808532715|5644|1950
a 2009 systematic review of randomised controlled trials|1.8872475326061249|18978|13796
a 2011 documentary , making the boys ,|-1.9102723598480225|25409|7301
a 750 m line of 134 palms|-0.10103833675384521|5107|1296
aaya ram gaya ram expression in politics of india|1.7896466851234436|1724|1612
a baby born at 36 weeks|2.5064845085144043|468|423
abakan 's sites of interest|1.1930534839630127|2291|3407
a balance sheet prepared with present values|2.172853469848633|468|423
aba must be effective , which means that the application of these techniques|1.743032455444336|2458|1487
a band of inscriptional tiles|-0.9002538919448853|4539|1057
a band of knights|0.15899169445037842|12932|5380
a band of small tubercles|-0.21069908142089844|4539|1057
a band of survivors , led by small-town sheriff reed ( a martinez ) ,|-2.764970362186432|1179|17276
a band of toys|-1.061343252658844|2925|467
a band of walkers eventually|-0.2816500663757324|3434|1368
a barrier jet in the low levels|-1.454496681690216|5107|1296
a baseball-type game for two players , monkey baseball|3.836604356765747|468|423
a basic result of differential geometry states that normal coordinates at a point always|5.000792026519775|2152|7160
a batch of eight wafers|0.47539788484573364|2925|467
a battle of the egos|2.434560775756836|8833|3051
aberrant marks can be created when two dragonmark bearing people , each of whom has a different dragonmark ,|4.136564254760742|423|468
a big fan of hollywood blockbusters , reilly|-0.5952939987182617|7176|2911
ab initio methods , on the other hand ,|-0.23836159706115723|4427|6459
a biographical sketch of his parents by thomas wade , ii ,|1.0293030738830566|10069|7766
a biography on wikipedia|0.4114149510860443|3011|651
a biopsy is not necessary if the clinical , laboratory , and radiologic data|-4.724695205688477|5644|1950
a blend of new and seasoned singers|0.6064479351043701|3607|1577
a blend of the two techniques|0.6710661351680756|7622|1394
a block of his editing privileges until he|5.299941062927246|14386|4236
a block of residences|0.8346628844738007|6140|2221
a block that was discovered ( and now housed in antalya archaeological museum ) during the excavations over the portal|0.5413384437561035|13062|6842
a blue color with rgb values of 0 0 255 therefore|1.650846540927887|3568|1656
a board of approximately five members generally|1.1267207860946655|15314|6687
a board of executives|0.1211463212966919|17105|5412
a board of five commissioners|0.6292500495910645|13648|3342
a boat carrying haitian migrants|1.1040115356445312|17591|4929
a boat filled with emigrants from sweden|1.3369274139404297|14443|9240
a bomb at the oktoberfest fairgrounds in theresienwiese , munich , germany|-0.5405650734901428|12847|1494
a book being sold in other languages just|4.724277853965759|1724|1612
a book manuscript based on the dissertations|-0.06122398376464844|4394|2897
a book on his journeys around the australian outback in a cessna 172|-0.22524261474609375|4477|2555
a bot , programmed by volunteers ,|1.0121766924858093|22974|2193
about 100 , 000 scientific papers a year|3.367100715637207|423|468
about 10 , 000 visitors a year|2.9983163475990295|467|2925
about 110 trains per day|3.404660701751709|779|3544
about 13 google results , none|0.7921249866485596|1656|3568
about 150 , 000 people , as many as the population of izumo-shi ,|1.9012556076049805|3187|11864
about 150 acres of the original farm of 'vermont '|-0.45082199573516846|2152|7160
about 30 , 000 residents of the patagonia region|3.5343337059020996|423|468
about 600 million people speak english effectively , half of them|3.532515048980713|2107|3160
about a third of the prose content describes the ex-gay movement , and the list of people|-0.0965232253074646|3568|1656
about half the dishes on a hangzhou menu|3.3066530227661133|3994|4909
about one out of eight people|-0.7482724189758301|468|423
about the accusations of `` hidden agenda '' , members of the movement|4.993699550628662|910|1139
about three mountaineering deaths each year|1.28125|3051|8833
above the breakdown field , the number of electrons|2.0591594576835632|4940|923
above them an open circle of corinthian columns|0.819049596786499|6971|1104
a box of black sticky spots|1.1629258394241333|14443|9240
a brainy boy who researches the pixies , devyn|3.584285318851471|3769|2148
a branch with 6 stations|-0.18385028839111328|4539|1057
a breakdance battle between the breakers and rock steady ensues , and tracy|1.8046154975891113|6178|21099
a brief search of the sources soon|4.0694966316223145|4962|1210
absence of lateral incisors|2.889302909374237|6870|2380
absence of required resources generally|1.8915386199951172|10975|2689
absolutely not , unless a small part of the lyrics|-0.19607067108154297|2476|761
abundant material regarding this midrash has been collected by horowitz ; but the numerical relations of the midrashim|3.54146546125412|2421|4433
abundant wall paintings and iconostasis|0.2073872685432434|3002|8698
abuse of editing privileges|2.984663709998131|1724|1612
a business politician cartel of disbelievers|1.5369428396224976|13267|5409
a bust of beaverbrook , containing his ashes ,|1.870399534702301|6296|1302
a cabinet of ministers ( `` secretarios de estado '' ) that he designates|-0.2745351791381836|13648|3342
academic institutions in and around the village|2.9911593794822693|2291|3407
academic publications in the norwegian language|2.2696805000305176|2291|3407
academic research projects that rent space at gnwc|1.962796688079834|2291|3407
a cadre of devotees gradually|-0.5039923191070557|21126|1205
a calculation of the two censuses|-0.786837100982666|7584|1234
a canal-like stream which originates from nearby dams such as pechiparai , perunchani , and kodaiyyar|-1.1119167804718018|9416|5127
a cannabis song making the rounds right now|3.754457950592041|468|423
a career services management ( csm ) program from symplicity , which is currently used by more than 1000 institutions ,|3.628415107727051|3769|2148
a careful comparison of ben-gurion 's public and private positions|1.7282543182373047|5983|1085
a careful look through past yearbooks|4.171722888946533|10069|7766
a caricature of the authors|0.8039378523826599|3568|1656
a case in point , consider that both genes and environment|5.74289608001709|423|468
a case of mistaken identities|0.2925620973110199|5640|2728
a castroviejo locking forceps is grasping the superior pole of the muscle , while a pair of manson-aebli scissors|0.15305328369140625|857|466
a casual look at the ghits reveals less than 40 english sites ; the only english-language sources cited in the article|3.1529581546783447|423|468
a category for graduates|1.464098036289215|2331|1283
a caterpillar with many legs|2.5275725722312927|4962|1210
accepted theories today|2.2413155883550644|7267|11673
access controls , on the other hand ,|-0.4332324266433716|2152|7160
accessories for the flip video camera|1.1002471446990967|2291|3407
accessories for the pistol|1.9251699447631836|2291|3407
accessories supplied with the rifle|2.0486745834350586|2291|3407
accessory constituents found in red clay|3.48026180267334|2291|3407
access patterns of this account|2.3166967630386353|7603|9217
accommodations at the park|1.9669811725616455|2291|3407
accommodationthe accommodation designed for 800 people|3.8418400287628174|4909|3994
accomplishments during his administration|2.960322856903076|2291|3407
accordingly , hail is less common in the tropics despite a much higher frequency of thunderstorms than in the mid-latitudes because the atmosphere over the tropics|5.180966377258301|12444|4327
according some experts , research has shown that the careful application of analogies|2.8908841609954834|19575|2987
according to a 1984 journal article by his biographer , sultan-zade 's activities after this date|2.064391613006592|1716|4329
according to a 2008 quality of life survey of global cities , san francisco|5.243341445922852|468|423
according to alec wilder the song , 56 measures long ,|3.8758888244628906|468|423
according to a malmö university study published in 2009 , women who breast fed for a longer duration|5.335108280181885|423|468
according to a study by the `` respected pew research center '' of 40 000 people , almost everywhere , particularly in africa and asia , a majority of people|-3.583523750305176|468|423
according to barsalou , simulation composed of these three modalities|2.0296313762664795|8075|2251
according to boric acid iuclid dataset published by the european commission , boric acid in high doses|1.4864716529846191|2523|905
according to bowers , `` a comparison of the 1901 and 1923 designs , however ,|2.576728343963623|2523|905
according to conlon , `` frogs belonging to the genus rana|3.4853920340538025|2380|6870
according to epiphanius , he was apparently trying to propagate the view `` that there is something beyond the one who exists and that , so to speak , the activity of all things|4.802748203277588|2058|1282
according to federal law , the makah people of washington state are entitled to hunt and kill one baleen whale , typically a gray whale , each year , though archaeological records and oral history|2.5444955825805664|7603|9217
according to freire , the system of dominant social relations|3.373613953590393|8075|2251
according to hawaiian oral traditions , the planting of the kalalaikawa tree in the garden of paliula is symbolic of the reproductive energy of male and female , which union in turns|2.3820520639419556|23816|6070
according to iranian scholar ehsan naraghi , anti-western attitude among iranian islamists|2.099928855895996|468|423
according to its historic property survey description , its `` stone masonry construction along with its stylistic treatments|-2.270764112472534|21001|12082
